Город	Возраст	Численность населения	Год
Москва	0-3	39	1800
Москва	3-7	75	1800
Москва	8-14	29	1800
Москва	15-18	78	1800
Москва	18-25	81	1800
Москва	26-35	36	1800
Москва	36-45	92	1800
Москва	46-60	41	1800
Москва	61-80	97	1800
Москва	80-100	47	1800
Москва	101+	57	1800
Санкт-Петербург	0-3	100	1800
Санкт-Петербург	3-7	23	1800
Санкт-Петербург	8-14	18	1800
Санкт-Петербург	15-18	84	1800
Санкт-Петербург	18-25	56	1800
Санкт-Петербург	26-35	71	1800
Санкт-Петербург	36-45	12	1800
Санкт-Петербург	46-60	39	1800
Санкт-Петербург	61-80	47	1800
Санкт-Петербург	80-100	66	1800
Санкт-Петербург	101+	30	1800
Новосибирск	0-3	88	1800
Новосибирск	3-7	33	1800
Новосибирск	8-14	27	1800
Новосибирск	15-18	75	1800
Новосибирск	18-25	11	1800
Новосибирск	26-35	41	1800
Новосибирск	36-45	21	1800
Новосибирск	46-60	78	1800
Новосибирск	61-80	97	1800
Новосибирск	80-100	52	1800
Новосибирск	101+	92	1800
Екатеринбург	0-3	39	1800
Екатеринбург	3-7	95	1800
Екатеринбург	8-14	50	1800
Екатеринбург	15-18	94	1800
Екатеринбург	18-25	94	1800
Екатеринбург	26-35	55	1800
Екатеринбург	36-45	28	1800
Екатеринбург	46-60	82	1800
Екатеринбург	61-80	97	1800
Екатеринбург	80-100	38	1800
Екатеринбург	101+	84	1800
Казань	0-3	20	1800
Казань	3-7	82	1800
Казань	8-14	46	1800
Казань	15-18	32	1800
Казань	18-25	57	1800
Казань	26-35	40	1800
Казань	36-45	18	1800
Казань	46-60	75	1800
Казань	61-80	47	1800
Казань	80-100	70	1800
Казань	101+	26	1800
Нижний Новгород	0-3	79	1800
Нижний Новгород	3-7	71	1800
Нижний Новгород	8-14	84	1800
Нижний Новгород	15-18	62	1800
Нижний Новгород	18-25	22	1800
Нижний Новгород	26-35	79	1800
Нижний Новгород	36-45	55	1800
Нижний Новгород	46-60	50	1800
Нижний Новгород	61-80	19	1800
Нижний Новгород	80-100	87	1800
Нижний Новгород	101+	49	1800
Челябинск	0-3	52	1800
Челябинск	3-7	92	1800
Челябинск	8-14	47	1800
Челябинск	15-18	86	1800
Челябинск	18-25	86	1800
Челябинск	26-35	67	1800
Челябинск	36-45	81	1800
Челябинск	46-60	22	1800
Челябинск	61-80	94	1800
Челябинск	80-100	76	1800
Челябинск	101+	33	1800
Самара	0-3	22	1800
Самара	3-7	25	1800
Самара	8-14	62	1800
Самара	15-18	11	1800
Самара	18-25	60	1800
Самара	26-35	72	1800
Самара	36-45	48	1800
Самара	46-60	39	1800
Самара	61-80	60	1800
Самара	80-100	29	1800
Самара	101+	61	1800
Омск	0-3	49	1800
Омск	3-7	31	1800
Омск	8-14	37	1800
Омск	15-18	26	1800
Омск	18-25	54	1800
Омск	26-35	33	1800
Омск	36-45	83	1800
Омск	46-60	40	1800
Омск	61-80	23	1800
Омск	80-100	38	1800
Омск	101+	58	1800
Ростов-на-Дону	0-3	69	1800
Ростов-на-Дону	3-7	34	1800
Ростов-на-Дону	8-14	89	1800
Ростов-на-Дону	15-18	88	1800
Ростов-на-Дону	18-25	44	1800
Ростов-на-Дону	26-35	70	1800
Ростов-на-Дону	36-45	25	1800
Ростов-на-Дону	46-60	61	1800
Ростов-на-Дону	61-80	51	1800
Ростов-на-Дону	80-100	99	1800
Ростов-на-Дону	101+	30	1800
Уфа	0-3	81	1800
Уфа	3-7	86	1800
Уфа	8-14	32	1800
Уфа	15-18	81	1800
Уфа	18-25	66	1800
Уфа	26-35	73	1800
Уфа	36-45	76	1800
Уфа	46-60	57	1800
Уфа	61-80	58	1800
Уфа	80-100	67	1800
Уфа	101+	61	1800
Красноярск	0-3	37	1800
Красноярск	3-7	35	1800
Красноярск	8-14	47	1800
Красноярск	15-18	97	1800
Красноярск	18-25	53	1800
Красноярск	26-35	52	1800
Красноярск	36-45	77	1800
Красноярск	46-60	91	1800
Красноярск	61-80	31	1800
Красноярск	80-100	95	1800
Красноярск	101+	26	1800
Москва	0-3	40	1803
Москва	3-7	64	1803
Москва	8-14	22	1803
Москва	15-18	64	1803
Москва	18-25	37	1803
Москва	26-35	12	1803
Москва	36-45	91	1803
Москва	46-60	22	1803
Москва	61-80	50	1803
Москва	80-100	48	1803
Москва	101+	60	1803
Санкт-Петербург	0-3	55	1803
Санкт-Петербург	3-7	92	1803
Санкт-Петербург	8-14	68	1803
Санкт-Петербург	15-18	96	1803
Санкт-Петербург	18-25	57	1803
Санкт-Петербург	26-35	25	1803
Санкт-Петербург	36-45	64	1803
Санкт-Петербург	46-60	64	1803
Санкт-Петербург	61-80	74	1803
Санкт-Петербург	80-100	20	1803
Санкт-Петербург	101+	75	1803
Новосибирск	0-3	99	1803
Новосибирск	3-7	83	1803
Новосибирск	8-14	32	1803
Новосибирск	15-18	98	1803
Новосибирск	18-25	60	1803
Новосибирск	26-35	10	1803
Новосибирск	36-45	30	1803
Новосибирск	46-60	75	1803
Новосибирск	61-80	17	1803
Новосибирск	80-100	60	1803
Новосибирск	101+	22	1803
Екатеринбург	0-3	28	1803
Екатеринбург	3-7	52	1803
Екатеринбург	8-14	97	1803
Екатеринбург	15-18	41	1803
Екатеринбург	18-25	88	1803
Екатеринбург	26-35	84	1803
Екатеринбург	36-45	99	1803
Екатеринбург	46-60	37	1803
Екатеринбург	61-80	69	1803
Екатеринбург	80-100	93	1803
Екатеринбург	101+	34	1803
Казань	0-3	57	1803
Казань	3-7	52	1803
Казань	8-14	45	1803
Казань	15-18	13	1803
Казань	18-25	72	1803
Казань	26-35	40	1803
Казань	36-45	93	1803
Казань	46-60	98	1803
Казань	61-80	20	1803
Казань	80-100	28	1803
Казань	101+	24	1803
Нижний Новгород	0-3	19	1803
Нижний Новгород	3-7	75	1803
Нижний Новгород	8-14	93	1803
Нижний Новгород	15-18	55	1803
Нижний Новгород	18-25	72	1803
Нижний Новгород	26-35	98	1803
Нижний Новгород	36-45	13	1803
Нижний Новгород	46-60	62	1803
Нижний Новгород	61-80	56	1803
Нижний Новгород	80-100	94	1803
Нижний Новгород	101+	71	1803
Челябинск	0-3	96	1803
Челябинск	3-7	15	1803
Челябинск	8-14	52	1803
Челябинск	15-18	28	1803
Челябинск	18-25	14	1803
Челябинск	26-35	88	1803
Челябинск	36-45	69	1803
Челябинск	46-60	72	1803
Челябинск	61-80	79	1803
Челябинск	80-100	99	1803
Челябинск	101+	84	1803
Самара	0-3	96	1803
Самара	3-7	96	1803
Самара	8-14	33	1803
Самара	15-18	43	1803
Самара	18-25	84	1803
Самара	26-35	86	1803
Самара	36-45	50	1803
Самара	46-60	69	1803
Самара	61-80	49	1803
Самара	80-100	94	1803
Самара	101+	62	1803
Омск	0-3	30	1803
Омск	3-7	99	1803
Омск	8-14	18	1803
Омск	15-18	45	1803
Омск	18-25	68	1803
Омск	26-35	53	1803
Омск	36-45	22	1803
Омск	46-60	100	1803
Омск	61-80	22	1803
Омск	80-100	42	1803
Омск	101+	32	1803
Ростов-на-Дону	0-3	44	1803
Ростов-на-Дону	3-7	97	1803
Ростов-на-Дону	8-14	34	1803
Ростов-на-Дону	15-18	45	1803
Ростов-на-Дону	18-25	85	1803
Ростов-на-Дону	26-35	87	1803
Ростов-на-Дону	36-45	87	1803
Ростов-на-Дону	46-60	68	1803
Ростов-на-Дону	61-80	22	1803
Ростов-на-Дону	80-100	81	1803
Ростов-на-Дону	101+	21	1803
Уфа	0-3	98	1803
Уфа	3-7	31	1803
Уфа	8-14	98	1803
Уфа	15-18	88	1803
Уфа	18-25	18	1803
Уфа	26-35	75	1803
Уфа	36-45	31	1803
Уфа	46-60	41	1803
Уфа	61-80	91	1803
Уфа	80-100	61	1803
Уфа	101+	26	1803
Красноярск	0-3	75	1803
Красноярск	3-7	98	1803
Красноярск	8-14	22	1803
Красноярск	15-18	51	1803
Красноярск	18-25	42	1803
Красноярск	26-35	38	1803
Красноярск	36-45	79	1803
Красноярск	46-60	49	1803
Красноярск	61-80	51	1803
Красноярск	80-100	10	1803
Красноярск	101+	50	1803
Москва	0-3	73	1806
Москва	3-7	77	1806
Москва	8-14	74	1806
Москва	15-18	22	1806
Москва	18-25	51	1806
Москва	26-35	52	1806
Москва	36-45	27	1806
Москва	46-60	59	1806
Москва	61-80	16	1806
Москва	80-100	38	1806
Москва	101+	98	1806
Санкт-Петербург	0-3	26	1806
Санкт-Петербург	3-7	100	1806
Санкт-Петербург	8-14	22	1806
Санкт-Петербург	15-18	84	1806
Санкт-Петербург	18-25	89	1806
Санкт-Петербург	26-35	14	1806
Санкт-Петербург	36-45	87	1806
Санкт-Петербург	46-60	70	1806
